"","Ref. No.","Location","Name","Accession Number","event","value","DOY","year"
"283",76,"G6•","M. cylindrica","1992-0484.02","First bud colour",2012-04-22,113,2012
"284",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour",2012-03-21,81,2012
"285",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First bud colour",2012-05-06,127,2012
"286",81,"A6•","M. amoena","2001-0559.02","First bud colour",2012-04-01,92,2012
"287",82,"B7•","M. maudiae","2002-0460.01","First bud colour",2012-04-22,113,2012
"288",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open",2012-04-11,102,2012
"289",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open",2012-03-25,85,2012
"290",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First flower fully open",2012-03-28,88,2012
"291",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First flower fully open",2012-03-28,88,2012
"292",14,"C7•","M. sargentiana","1988-0065.01","First flower fully open",2012-04-01,92,2012
"293",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open",2012-04-15,106,2012
"294",20,"C9•","M. stellata","1972-0218.01","First flower fully open",2012-04-22,113,2012
"295",22,"DB•","M. sprengeri","1980-0041.01","First flower fully open",2012-04-08,99,2012
"296",27,"H3•","M. campbellii","1982-0939.06","First flower fully open",2012-04-01,92,2012
"297",28,"H3•","M. campbellii","1983-0456.01","First flower fully open",2012-04-01,92,2012
"298",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First flower fully open",2012-04-08,99,2012
"299",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open",2012-04-15,106,2012
"300",38,"D2•","M. sargentiana","1982-1437.04","First flower fully open",2012-03-25,85,2012
"301",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open",2012-04-11,102,2012
"302",44,"D6•","M. campbellii","1974-1054.01","First flower fully open",2012-04-04,95,2012
"303",50,"D5•","M. campbellii","1978-0361.01","First flower fully open",2012-04-08,99,2012
"304",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open",2012-04-15,106,2012
"305",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open",2012-04-01,92,2012
"306",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open",2012-04-15,106,2012
"307",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open",2012-04-15,106,2012
"308",67,"E7•","M. campbellii","1979-0244.01","First flower fully open",2012-04-11,102,2012
"309",71,"BC•","M. zenii","1986-0146.01","First flower fully open",2012-04-11,102,2012
"310",73,"A2•","M. cylindrica","1982-0947.01","First flower fully open",2012-04-15,106,2012
"311",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open",2012-04-25,116,2012
"312",76,"G6•","M. cylindrica","1992-0484.02","First flower fully open",2012-04-25,116,2012
"313",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open",2012-03-25,85,2012
"314",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First flower fully open",2012-05-13,134,2012
"315",81,"A6•","M. amoena","2001-0559.02","First flower fully open",2012-04-04,95,2012
"316",82,"B7•","M. maudiae","2002-0460.01","First flower fully open",2012-05-13,134,2012
"317",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom",2012-04-15,106,2012
"318",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Peak bloom",2012-04-04,95,2012
"319",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Peak bloom",2012-04-04,95,2012
"320",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Peak bloom",2012-04-15,106,2012
"321",14,"C7•","M. sargentiana","1988-0065.01","Peak bloom",2012-04-04,95,2012
"322",20,"C9•","M. stellata","1972-0218.01","Peak bloom",2012-04-29,120,2012
"323",22,"DB•","M. sprengeri","1980-0041.01","Peak bloom",2012-04-15,106,2012
"324",27,"H3•","M. campbellii","1982-0939.06","Peak bloom",2012-04-11,102,2012
"325",28,"H3•","M. campbellii","1983-0456.01","Peak bloom",2012-04-11,102,2012
"326",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Peak bloom",2012-04-15,106,2012
"327",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Peak bloom",2012-04-22,113,2012
"328",38,"D2•","M. sargentiana","1982-1437.04","Peak bloom",2012-04-04,95,2012
"329",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Peak bloom",2012-04-15,106,2012
"330",44,"D6•","M. campbellii","1974-1054.01","Peak bloom",2012-04-15,106,2012
"331",50,"D5•","M. campbellii","1978-0361.01","Peak bloom",2012-04-15,106,2012
"332",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Peak bloom",2012-04-18,109,2012
"333",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Peak bloom",2012-04-04,95,2012
"334",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Peak bloom",2012-04-18,109,2012
"335",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Peak bloom",2012-04-15,106,2012
"336",67,"E7•","M. campbellii","1979-0244.01","Peak bloom",2012-04-15,106,2012
"337",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Peak bloom",2012-04-25,116,2012
"338",76,"G6•","M. cylindrica","1992-0484.02","Peak bloom",2012-04-25,116,2012
"339",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Peak bloom",2012-04-01,92,2012
"340",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Peak bloom",2012-05-23,144,2012
"341",81,"A6•","M. amoena","2001-0559.02","Peak bloom",2012-04-11,102,2012
"342",82,"B7•","M. maudiae","2002-0460.01","Peak bloom",2012-05-13,134,2012
"343",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First tepal drop",2012-04-11,102,2012
"344",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First tepal drop",2012-03-28,88,2012
"345",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First tepal drop",2012-04-04,95,2012
"346",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First tepal drop",2012-04-04,95,2012
"347",14,"C7•","M. sargentiana","1988-0065.01","First tepal drop",2012-04-08,99,2012
"348",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First tepal drop",2012-04-15,106,2012
"349",20,"C9•","M. stellata","1972-0218.01","First tepal drop",2012-05-02,123,2012
"350",22,"DB•","M. sprengeri","1980-0041.01","First tepal drop",2012-04-11,102,2012
"351",27,"H3•","M. campbellii","1982-0939.06","First tepal drop",2012-04-11,102,2012
"352",28,"H3•","M. campbellii","1983-0456.01","First tepal drop",2012-04-08,99,2012
"353",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First tepal drop",2012-04-15,106,2012
"354",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First tepal drop",2012-04-15,106,2012
"355",38,"D2•","M. sargentiana","1982-1437.04","First tepal drop",2012-03-28,88,2012
"356",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First tepal drop",2012-04-18,109,2012
"357",44,"D6•","M. campbellii","1974-1054.01","First tepal drop",2012-04-11,102,2012
"358",50,"D5•","M. campbellii","1978-0361.01","First tepal drop",2012-05-23,144,2012
"359",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop",2012-04-15,106,2012
"360",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop",2012-04-04,95,2012
"361",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop",2012-04-18,109,2012
"362",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop",2012-04-22,113,2012
"363",67,"E7•","M. campbellii","1979-0244.01","First tepal drop",2012-04-18,109,2012
"364",71,"BC•","M. zenii","1986-0146.01","First tepal drop",2012-04-15,106,2012
"365",73,"A2•","M. cylindrica","1982-0947.01","First tepal drop",2012-04-22,113,2012
"366",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop",2012-04-29,120,2012
"367",76,"G6•","M. cylindrica","1992-0484.02","First tepal drop",2012-04-29,120,2012
"368",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First tepal drop",2012-04-01,92,2012
"369",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First tepal drop",2012-05-23,144,2012
"370",81,"A6•","M. amoena","2001-0559.02","First tepal drop",2012-04-11,102,2012
"371",82,"B7•","M. maudiae","2002-0460.01","First tepal drop",2012-06-10,162,2012
"372",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop",2012-05-16,137,2012
"373",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop",2012-05-02,123,2012
"374",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Last tepal drop",2012-04-29,120,2012
"375",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Last tepal drop",2012-04-29,120,2012
"376",14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop",2012-05-16,137,2012
"377",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop",2012-05-16,137,2012
"378",20,"C9•","M. stellata","1972-0218.01","Last tepal drop",2012-06-03,155,2012
"379",22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop",2012-05-16,137,2012
"380",27,"H3•","M. campbellii","1982-0939.06","Last tepal drop",2012-05-02,123,2012
"381",28,"H3•","M. campbellii","1983-0456.01","Last tepal drop",2012-05-02,123,2012
"382",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Last tepal drop",2012-05-13,134,2012
"383",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop",2012-05-27,148,2012
"384",38,"D2•","M. sargentiana","1982-1437.04","Last tepal drop",2012-05-02,123,2012
"385",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Last tepal drop",2012-06-06,158,2012
"386",44,"D6•","M. campbellii","1974-1054.01","Last tepal drop",2012-05-20,141,2012
"387",50,"D5•","M. campbellii","1978-0361.01","Last tepal drop",2012-05-02,123,2012
"388",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop",2012-05-16,137,2012
"389",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop",2012-05-02,123,2012
"390",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop",2012-05-27,148,2012
"391",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop",2012-05-02,123,2012
"392",67,"E7•","M. campbellii","1979-0244.01","Last tepal drop",2012-05-06,127,2012
"393",71,"BC•","M. zenii","1986-0146.01","Last tepal drop",2012-05-06,127,2012
"394",73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop",2012-05-27,148,2012
"395",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop",2012-05-13,134,2012
"396",76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop",2012-05-23,144,2012
"397",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop",2012-05-16,137,2012
"398",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Last tepal drop",2012-05-31,152,2012
"399",81,"A6•","M. amoena","2001-0559.02","Last tepal drop",2012-05-06,127,2012
"400",82,"B7•","M. maudiae","2002-0460.01","Last tepal drop",2012-06-10,162,2012
"401",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First green seen",2012-04-18,109,2012
"402",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First green seen",2012-04-18,109,2012
"403",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First green seen",2012-04-18,109,2012
"404",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First green seen",2012-04-29,120,2012
"405",14,"C7•","M. sargentiana","1988-0065.01","First green seen",2012-04-15,106,2012
"406",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First green seen",2012-04-18,109,2012
"407",20,"C9•","M. stellata","1972-0218.01","First green seen",2012-04-15,106,2012
"408",22,"DB•","M. sprengeri","1980-0041.01","First green seen",2012-04-15,106,2012
"409",27,"H3•","M. campbellii","1982-0939.06","First green seen",2012-04-18,109,2012
"410",28,"H3•","M. campbellii","1983-0456.01","First green seen",2012-04-18,109,2012
"411",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First green seen",2012-04-18,109,2012
"412",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First green seen",2012-04-18,109,2012
"413",38,"D2•","M. sargentiana","1982-1437.04","First green seen",2012-04-15,106,2012
"414",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First green seen",2012-04-15,106,2012
"415",44,"D6•","M. campbellii","1974-1054.01","First green seen",2012-05-16,137,2012
"416",50,"D5•","M. campbellii","1978-0361.01","First green seen",2012-04-15,106,2012
"417",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First green seen",2012-04-15,106,2012
"418",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First green seen",2012-04-15,106,2012
"419",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First green seen",2012-04-15,106,2012
"420",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First green seen",2012-04-22,113,2012
"421",67,"E7•","M. campbellii","1979-0244.01","First green seen",2012-04-22,113,2012
"422",71,"BC•","M. zenii","1986-0146.01","First green seen",2012-04-22,113,2012
"423",73,"A2•","M. cylindrica","1982-0947.01","First green seen",2012-04-15,106,2012
"424",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First green seen",2012-04-15,106,2012
"425",76,"G6•","M. cylindrica","1992-0484.02","First green seen",2012-04-27,118,2012
"426",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First green seen",2012-04-15,106,2012
"427",81,"A6•","M. amoena","2001-0559.02","First green seen",2012-04-22,113,2012
"428",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour",2013-03-27,86,2013
"429",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour",2013-03-20,79,2013
"430",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First bud colour",2013-03-31,90,2013
"431",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First bud colour",2013-03-31,90,2013
"432",14,"C7•","M. sargentiana","1988-0065.01","First bud colour",2013-03-24,83,2013
"433",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour",2013-03-31,90,2013
"434",20,"C9•","M. stellata","1972-0218.01","First bud colour",2013-04-07,97,2013
"435",22,"DB•","M. sprengeri","1980-0041.01","First bud colour",2013-03-31,90,2013
"436",27,"H3•","M. campbellii","1982-0939.06","First bud colour",2013-03-31,90,2013
"437",28,"H3•","M. campbellii","1983-0456.01","First bud colour",2013-03-24,83,2013
"438",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First bud colour",2013-03-31,90,2013
"439",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour",2013-03-31,90,2013
"440",38,"D2•","M. sargentiana","1982-1437.04","First bud colour",2013-03-20,79,2013
"441",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour",2013-03-31,90,2013
"442",44,"D6•","M. campbellii","1974-1054.01","First bud colour",2013-03-31,90,2013
"443",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour",2013-04-03,93,2013
"444",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour",2013-03-31,90,2013
"445",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour",2013-03-31,90,2013
"446",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour",2013-03-24,83,2013
"447",71,"BC•","M. zenii","1986-0146.01","First bud colour",2013-03-31,90,2013
"448",73,"A2•","M. cylindrica","1982-0947.01","First bud colour",2013-04-03,93,2013
"449",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour",2013-04-03,93,2013
"450",76,"G6•","M. cylindrica","1992-0484.02","First bud colour",2013-04-14,104,2013
"451",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour",2013-03-20,79,2013
"452",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First bud colour",2013-05-01,121,2013
"453",81,"A6•","M. amoena","2001-0559.02","First bud colour",2013-03-27,86,2013
"454",83,"E8•","M. conifera","1998-0507.02","First bud colour",2013-06-19,170,2013
"455",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open",2013-04-03,93,2013
"456",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open",2013-03-27,86,2013
"457",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First flower fully open",2013-03-31,90,2013
"458",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First flower fully open",2013-03-31,90,2013
"459",14,"C7•","M. sargentiana","1988-0065.01","First flower fully open",2013-03-31,90,2013
"460",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open",2013-04-03,93,2013
"461",20,"C9•","M. stellata","1972-0218.01","First flower fully open",2013-04-17,107,2013
"462",22,"DB•","M. sprengeri","1980-0041.01","First flower fully open",2013-04-03,93,2013
"463",27,"H3•","M. campbellii","1982-0939.06","First flower fully open",2013-03-31,90,2013
"464",28,"H3•","M. campbellii","1983-0456.01","First flower fully open",2013-03-31,90,2013
"465",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First flower fully open",2013-04-03,93,2013
"466",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open",2013-04-03,93,2013
"467",38,"D2•","M. sargentiana","1982-1437.04","First flower fully open",2013-03-27,86,2013
"468",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open",2013-04-03,93,2013
"469",44,"D6•","M. campbellii","1974-1054.01","First flower fully open",2013-04-07,97,2013
"470",50,"D5•","M. campbellii","1978-0361.01","First flower fully open",2013-04-03,93,2013
"471",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open",2013-04-07,97,2013
"472",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open",2013-03-31,90,2013
"473",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open",2013-04-07,97,2013
"474",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open",2013-04-03,93,2013
"475",67,"E7•","M. campbellii","1979-0244.01","First flower fully open",2013-04-03,93,2013
"476",71,"BC•","M. zenii","1986-0146.01","First flower fully open",2013-04-07,97,2013
"477",73,"A2•","M. cylindrica","1982-0947.01","First flower fully open",2013-04-10,100,2013
"478",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open",2013-04-21,111,2013
"479",76,"G6•","M. cylindrica","1992-0484.02","First flower fully open",2013-04-24,114,2013
"480",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open",2013-03-27,86,2013
"481",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First flower fully open",2013-05-07,127,2013
